Word,Count
snored,5
windowsill,18
passing,93
wondering,116
stale,8
cornflakes,4
tinned,2
tomatoes,2
toast,38
owner,31
.Scuse,2
?Only,11
undred,1
desk,273
Room,70
1,25
7,2
Railview,1
Hotel,1
Cokeworth,1
.Ill,206
dining,14
Wouldnt,1
?Aunt,8
timidly,13
none,128
forest,208
plowed,5
field,136
halfway,108
suspension,4
bridge,11
multilevel,1
garage,8
.Daddys,3
hasnt,126
dully,24
parked,7
coast,15
.Great,22
beat,60
sniveled,2
Monday,39
Great,218
Humbertos,1
.Monday,2
count,47
days,241
tomorrow,98
eleventh,3
.Of,146
birthdays,5
fun,66
hanger,2
.Still,56
package,44
.Found,3
!Everyone,2
!It,63
rock,74
sea,51
.Perched,2
shack,9
certain,82
.Storm,1
forecast,2
gleefully,21
clapping,30
gentlemans,1
kindly,53
agreed,75
lend,9
boat,40
!A,55
toothless,6
ambling,2
wicked,4
rowboat,1
bobbing,21
irongray,3
below,182
rations,2
aboard,2
freezing,21
.Icy,1
spray,5
chilly,28
whipped,46
slipping,32
sliding,40
led,163
brokendown,5
strongly,15
seaweed,2
whistled,7
gaps,8
wooden,89
empty,307
rooms,35
chips,3
bananas,1
fire,349
chip,4
bags,42
smoked,3
shriveled,14
eh,82
.Obviously,11
chance,201
reaching,33
storm,24
privately,6
cheer,26
.Spray,2
waves,11
splattered,13
hut,32
fierce,25
filthy,60
moldy,14
motheaten,12
sofa,41
lumpy,13
softest,3
curl,10
thinnest,2
ragged,24
blanket,12
raged,4
ferociously,5
shivered,19
comfortable,30
hunger,9
snores,11
drowned,30
rolls,17
thunder,15
lighted,3
dial,11
wrist,37
tick,2
